"measurement_record_id","test_run_id","measurement_area","metric_name","metric_value","unit","result_classification","mandatory_guardrail","guardrail_pass","reviewer_judgment","evidence_path","reviewer","notes"
"MR-EXT-SMOKE-004-02","TR-EXT-SMOKE-004","extraction outcome","result_status","success","status","observed","No","","Recorded for candidate comparison.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-004-FX-TXT-001.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-004-03","TR-EXT-SMOKE-004","extraction output","text_char_count","1828","characters","observed","No","","Interpret with fixture type and expected boundary behavior.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-004-FX-TXT-001.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-004-04","TR-EXT-SMOKE-004","locator preservation","locator_count","14","locators","observed","No","","Smoke-level structural locator count only; detailed fidelity remains for full review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-004-FX-TXT-001.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-004-05","TR-EXT-SMOKE-004","performance","elapsed_ms","50.3","milliseconds","observed","No","","Single smoke observation; not a final performance conclusion.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-004-FX-TXT-001.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-004-06","TR-EXT-SMOKE-004","resource use","memory_peak_delta_bytes","0","bytes","observed","No","","PHP-reported peak-memory delta for the isolated worker process.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-004-FX-TXT-001.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-004-07","TR-EXT-SMOKE-004","warning handling","warning_count","0","warnings","observed","No","","Warnings are retained in local raw evidence for review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-004-FX-TXT-001.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-005-01","TR-EXT-SMOKE-005","smoke expectation","expectation_pass","True","boolean","passed","Yes","Yes","Expected smoke behavior was observed.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-005-FX-PDF-008.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-005-02","TR-EXT-SMOKE-005","extraction outcome","result_status","no_meaningful_text","status","observed","No","","Recorded for candidate comparison.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-005-FX-PDF-008.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-005-03","TR-EXT-SMOKE-005","extraction output","text_char_count","0","characters","observed","No","","Interpret with fixture type and expected boundary behavior.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-005-FX-PDF-008.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-005-04","TR-EXT-SMOKE-005","locator preservation","locator_count","0","locators","observed","No","","Smoke-level structural locator count only; detailed fidelity remains for full review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-005-FX-PDF-008.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-005-05","TR-EXT-SMOKE-005","performance","elapsed_ms","81.137","milliseconds","observed","No","","Single smoke observation; not a final performance conclusion.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-005-FX-PDF-008.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-005-06","TR-EXT-SMOKE-005","resource use","memory_peak_delta_bytes","2097152","bytes","observed","No","","PHP-reported peak-memory delta for the isolated worker process.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-005-FX-PDF-008.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-005-07","TR-EXT-SMOKE-005","warning handling","warning_count","1","warnings","observed","No","","Warnings are retained in local raw evidence for review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-005-FX-PDF-008.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-006-01","TR-EXT-SMOKE-006","smoke expectation","expectation_pass","True","boolean","passed","Yes","Yes","Expected smoke behavior was observed.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-006-FX-TXT-007.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-006-02","TR-EXT-SMOKE-006","extraction outcome","result_status","rejected_empty_file","status","observed","No","","Recorded for candidate comparison.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-006-FX-TXT-007.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-006-03","TR-EXT-SMOKE-006","extraction output","text_char_count","0","characters","observed","No","","Interpret with fixture type and expected boundary behavior.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-006-FX-TXT-007.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-006-04","TR-EXT-SMOKE-006","locator preservation","locator_count","0","locators","observed","No","","Smoke-level structural locator count only; detailed fidelity remains for full review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-006-FX-TXT-007.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-006-05","TR-EXT-SMOKE-006","performance","elapsed_ms","0.871","milliseconds","observed","No","","Single smoke observation; not a final performance conclusion.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-006-FX-TXT-007.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-006-06","TR-EXT-SMOKE-006","resource use","memory_peak_delta_bytes","0","bytes","observed","No","","PHP-reported peak-memory delta for the isolated worker process.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-006-FX-TXT-007.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-006-07","TR-EXT-SMOKE-006","warning handling","warning_count","0","warnings","observed","No","","Warnings are retained in local raw evidence for review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-006-FX-TXT-007.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-007-01","TR-EXT-SMOKE-007","smoke expectation","expectation_pass","True","boolean","passed","Yes","Yes","Expected smoke behavior was observed.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-007-FX-PDF-009.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-007-02","TR-EXT-SMOKE-007","extraction outcome","result_status","rejected_corrupt_or_unreadable","status","observed","No","","Recorded for candidate comparison.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-007-FX-PDF-009.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-007-03","TR-EXT-SMOKE-007","extraction output","text_char_count","0","characters","observed","No","","Interpret with fixture type and expected boundary behavior.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-007-FX-PDF-009.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-007-04","TR-EXT-SMOKE-007","locator preservation","locator_count","0","locators","observed","No","","Smoke-level structural locator count only; detailed fidelity remains for full review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-007-FX-PDF-009.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-007-05","TR-EXT-SMOKE-007","performance","elapsed_ms","18.191","milliseconds","observed","No","","Single smoke observation; not a final performance conclusion.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-007-FX-PDF-009.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-007-06","TR-EXT-SMOKE-007","resource use","memory_peak_delta_bytes","0","bytes","observed","No","","PHP-reported peak-memory delta for the isolated worker process.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-007-FX-PDF-009.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-007-07","TR-EXT-SMOKE-007","warning handling","warning_count","0","warnings","observed","No","","Warnings are retained in local raw evidence for review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-007-FX-PDF-009.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-008-01","TR-EXT-SMOKE-008","smoke expectation","expectation_pass","True","boolean","passed","Yes","Yes","Expected smoke behavior was observed.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-008-FX-DOCX-007.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-008-02","TR-EXT-SMOKE-008","extraction outcome","result_status","rejected_corrupt_or_unreadable","status","observed","No","","Recorded for candidate comparison.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-008-FX-DOCX-007.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-008-03","TR-EXT-SMOKE-008","extraction output","text_char_count","0","characters","observed","No","","Interpret with fixture type and expected boundary behavior.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-008-FX-DOCX-007.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-008-04","TR-EXT-SMOKE-008","locator preservation","locator_count","0","locators","observed","No","","Smoke-level structural locator count only; detailed fidelity remains for full review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-008-FX-DOCX-007.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-008-05","TR-EXT-SMOKE-008","performance","elapsed_ms","12.22","milliseconds","observed","No","","Single smoke observation; not a final performance conclusion.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-008-FX-DOCX-007.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-008-06","TR-EXT-SMOKE-008","resource use","memory_peak_delta_bytes","0","bytes","observed","No","","PHP-reported peak-memory delta for the isolated worker process.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-008-FX-DOCX-007.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-008-07","TR-EXT-SMOKE-008","warning handling","warning_count","0","warnings","observed","No","","Warnings are retained in local raw evidence for review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-008-FX-DOCX-007.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-009-01","TR-EXT-SMOKE-009","smoke expectation","expectation_pass","True","boolean","passed","Yes","Yes","Expected smoke behavior was observed.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-009-FX-PDF-010.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-009-02","TR-EXT-SMOKE-009","extraction outcome","result_status","bounded_failure_inaccessible","status","observed","No","","Recorded for candidate comparison.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-009-FX-PDF-010.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-009-03","TR-EXT-SMOKE-009","extraction output","text_char_count","0","characters","observed","No","","Interpret with fixture type and expected boundary behavior.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-009-FX-PDF-010.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-009-04","TR-EXT-SMOKE-009","locator preservation","locator_count","0","locators","observed","No","","Smoke-level structural locator count only; detailed fidelity remains for full review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-009-FX-PDF-010.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-009-05","TR-EXT-SMOKE-009","performance","elapsed_ms","25.731","milliseconds","observed","No","","Single smoke observation; not a final performance conclusion.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-009-FX-PDF-010.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-009-06","TR-EXT-SMOKE-009","resource use","memory_peak_delta_bytes","0","bytes","observed","No","","PHP-reported peak-memory delta for the isolated worker process.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-009-FX-PDF-010.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
"MR-EXT-SMOKE-009-07","TR-EXT-SMOKE-009","warning handling","warning_count","1","warnings","observed","No","","Warnings are retained in local raw evidence for review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/smoke-20260715-191900/raw/TC-EXT-SMOKE-009-FX-PDF-010.json","Project team","EX-LOCAL-PHP-001 smoke run; local-only fixture processing; no external transmission."
